journal,author,title,translated year,issue,author name in english,original title,first published year,genre,additional comments
IL,Хэнсберри Лорейн,Плакат в окне Сиднея Брустайна: Пьеса  в  3-х д.,1968,3,Lorraine Hansberry,The Sign in Sidney Brustein's Window,1964,,
IL,Хэнсон Майк,Найди свое!: Повесть,1985,7,Mike Hanson,Ransack,1980,,
IL,Чивер Джон,Буллет-Парк: Роман,1970,"7, 8",John Cheever,Bullet Park,1969,,
IL,Чивер Джон,Геометрия любви,1968,5,John Cheever,The Geometry of Love,1966,,
IL,Чивер Джон,Жители пригорода,1976,7,John Cheever,The Country Husband,1954,,
IL,Шарп Том,Дальний умысел: Роман,1987,"9, 10",Tom Sharpe,The Great Pursuit ,1977,,
IL,Шварц Хиллел,Предрешенные выводы: легенда о 1000-м годе: Из книги «Конец века».,1991,6,,,,,
IL,Шедд Маргарет,Вечный свидетель,1970,5,,,,,
IL,Шекли Роберт,Загвоздка: Рассказ,1985,3,Robert Sheckley,Holdout,1957,,
IL,Шекли Роберт,Поединок разумов: Рассказ,1987,7,Robert Sheckley,Meeting of the Minds,1962,,
IL,Шекли Роберт,Совершенная женщина: Рассказ,1986,10,Robert Sheckley,The Perfect Woman,1953,,
IL,Шекли Роберт,Терапия,1967,1,Robert Sheckley,Bad Medicine,1956,,
IL,Шекли Роберт,Фантастические рассказы: Ордер на убийство,1965,5,Robert Sheckley,Skulking Permit,1955,,
IL,Шекли Роберт,Минимум необходимого,1965,5,Robert Sheckley,Subsistence Level,1954,,
IL,Шекли Роберт,Лавка миров,1965,5,Robert Sheckley,The Store of the World,1959,,first published in Playboy under the title «The World of Heart's Desire»
IL,Шоу Ирвин,"Богач, бедняк...: Роман",1980,8-11,Irwin Shaw,"Rich Man, Poor Man",1970,,
IL,Шоу Ирвин,Вечер в Византии: Роман,1975,"9, 10",Irwin Shaw,Evening in Byzantium,1973,,
IL,Шоу Ирвин,Жители Венеры,1967,2,Irwin Shaw,The Inhabitants of Venus,1965,,
IL,Шоу Ирвин,Как это принято у французов,1969,5,Irwin Shaw,In the French Style,1953,,published in the New Yorker
IL,Шоу Ирвин,"Нищий, вор: Роман",1983,5-7,Irwin Shaw,"Beggarman, Thief",1977,,
IL,Якокка Ли,Якокка: автобиография: Фрагменты книги. (При участии Уильяма Новака),1988,12,Lee Iacocca,Iacocca: An Autobiography,1986,,
